income,education_years,land_owned,age,employment_years,has_collateral,num_dependents,credit_score,district,gender,caste,loan_approved
76646,9,2.045,36,29,0,4,350,Kolkata,1,0,0
63555,17,8.43,64,22,1,3,658,Jaipur,0,0,1
32159,15,5.2,29,12,0,7,682,Patna,0,0,0
44869,0,0.861,53,0,0,7,511,Mumbai,1,1,0
66841,0,0.0125,29,12,1,0,163,Kolkata,1,0,0
52292,1,0.0875,35,32,0,2,484,Bhopal,1,0,0
33098,8,3.6479999999999997,66,7,0,3,290,Kolkata,0,1,0
12318,2,0.775,68,8,0,1,222,Patna,1,1,0
51674,10,1.1275,65,7,0,4,505,Kolkata,1,0,0
24308,6,0.754,60,7,0,7,264,Kolkata,1,1,0
66790,0,0.9560000000000001,51,19,0,1,270,Patna,1,1,0
8827,0,0.772,65,7,0,8,211,Hyderabad,1,1,0
124689,14,3.3680000000000003,50,13,1,6,675,Mumbai,0,1,1
33842,8,3.0440000000000005,66,37,1,5,493,Lucknow,0,1,0
40861,3,0.168,35,11,0,7,386,Chennai,1,1,0
63876,0,0.8340000000000001,46,32,0,1,246,Kolkata,1,1,0
9485,0,0.195,62,25,0,4,349,Delhi,1,1,0
30468,1,2.2325,22,20,0,3,191,Chennai,1,0,0
58512,6,1.1475,42,0,0,7,415,Mumbai,1,0,0
5725,0,0.677,41,1,0,0,212,Patna,1,1,0
45884,1,1.988,46,19,1,2,474,Lucknow,0,1,0
21035,14,0.235,55,0,0,7,290,Jaipur,1,0,0
21615,0,0.7275,50,18,0,4,365,Delhi,1,0,0
53788,0,2.46,27,23,0,3,260,Bhopal,1,0,0
13347,6,2.4025,54,1,0,5,359,Hyderabad,1,0,0
101807,1,3.2,50,39,0,4,610,Delhi,0,0,1
9718,5,0.9960000000000001,40,8,0,2,415,Pune,1,1,0
120361,1,3.3840000000000003,28,32,1,4,577,Lucknow,0,1,0
85053,1,1.5275,41,0,0,3,141,Mumbai,1,0,0
18963,0,0.04000000000000001,41,30,1,0,77,Jaipur,1,1,0
36417,0,2.2525,24,9,0,0,594,Bhopal,1,0,0
71363,7,1.3925,67,0,0,6,472,Bhopal,1,0,0
41589,0,3.472,38,7,0,3,550,Patna,0,1,0
19938,0,0.8340000000000001,37,16,0,0,20,Patna,1,1,0
11419,0,3.3320000000000003,70,30,0,5,686,Bhopal,0,1,0
87848,7,2.7920000000000003,27,3,0,0,339,Jaipur,0,1,0
81821,10,0.7275,42,11,1,7,480,Jaipur,1,0,0
90593,0,1.344,64,27,0,8,476,Chennai,0,1,0
194262,19,3.08,53,39,0,2,651,Mumbai,0,0,1
54100,0,0.020000000000000004,65,0,0,6,179,Pune,1,1,0
19485,10,0.5830000000000001,64,31,0,4,471,Hyderabad,1,1,0
98577,13,1.7475,32,14,0,2,514,Kolkata,1,0,0
15942,0,2.135,61,4,0,4,332,Pune,1,0,0
42271,0,0.35,57,7,0,6,649,Jaipur,1,0,0
51591,2,0.544,57,17,0,6,394,Jaipur,1,1,0
27666,12,0.08,67,30,1,8,326,Kolkata,0,0,0
19183,0,0.095,23,0,1,7,448,Kolkata,1,1,0
149633,17,0.54,54,16,1,3,737,Bhopal,0,0,1
23019,10,1.8125,19,7,0,4,404,Pune,1,0,0
51678,15,0.32400000000000007,29,36,0,4,368,Pune,0,1,0
77667,15,2.8640000000000003,21,9,0,1,378,Hyderabad,0,1,0
198323,12,2.5,40,37,1,6,401,Kolkata,0,0,1
20714,10,2.195,30,22,0,6,598,Lucknow,1,0,0
15204,0,3.2520000000000007,34,9,0,8,403,Pune,0,1,0
16278,0,0.9580000000000001,48,25,0,8,516,Hyderabad,1,1,0
128569,0,8.84,33,5,0,3,826,Bhopal,0,0,1
36990,8,2.3325,58,19,0,4,560,Bhopal,1,0,0
37228,2,0.859,43,19,1,6,516,Patna,1,1,0
142478,16,6.93,45,12,1,6,529,Patna,0,0,1
27622,1,0.425,18,32,0,7,233,Chennai,1,0,0
33023,7,0.272,64,3,0,7,515,Hyderabad,1,1,0
76276,6,0.5325,29,31,0,1,303,Bhopal,1,0,0
16877,9,2.4160000000000004,54,1,0,8,213,Chennai,0,1,0
14134,0,0.504,67,0,0,3,295,Patna,1,1,0
67686,1,2.1675,37,0,0,0,572,Delhi,1,0,0
83363,10,3.812,19,7,0,0,684,Pune,0,1,0
100218,8,1.62,53,2,1,4,585,Kolkata,0,1,0
61967,0,0.506,32,0,0,6,126,Bhopal,1,1,0
199064,4,9.72,55,12,1,4,441,Jaipur,0,0,1
62593,10,0.69,39,0,0,2,247,Patna,1,0,0
152982,15,7.92,61,30,1,6,649,Pune,0,0,1
81892,0,0.9,67,24,0,0,703,Hyderabad,0,1,0
68888,13,2.724,49,7,0,0,642,Jaipur,0,1,0
136626,16,2.54,37,30,0,1,543,Chennai,0,0,1
73796,0,2.21,53,22,0,0,305,Jaipur,1,0,0
95080,8,2.244,50,16,1,8,412,Kolkata,0,1,0
75574,11,0.465,32,10,0,3,633,Pune,1,0,0
13734,3,0.22400000000000003,67,0,0,6,0,Jaipur,1,1,0
108189,11,1.235,63,21,1,4,358,Hyderabad,1,0,0
65015,12,9.62,20,9,1,6,354,Chennai,0,0,0
137096,10,7.7,46,28,0,6,794,Delhi,0,0,1
122059,20,4.88,64,39,0,0,717,Mumbai,0,0,1
81696,16,1.352,44,17,0,0,627,Bhopal,0,1,1
56616,9,1.3725,22,3,0,2,457,Kolkata,1,0,0
106738,12,2.9920000000000004,48,22,0,1,456,Lucknow,0,1,0
43213,0,0.784,39,2,1,6,9,Mumbai,1,1,0
179899,18,3.25,52,8,1,2,640,Patna,0,0,1
50454,15,2.8840000000000003,24,23,0,6,283,Bhopal,0,1,0
32335,4,0.658,23,16,0,8,344,Patna,1,1,0
108426,8,9.59,43,24,1,0,669,Hyderabad,0,0,1
132845,19,9.31,18,8,0,2,497,Lucknow,0,0,1
92604,3,1.9725,36,3,1,5,133,Patna,1,0,0
58585,11,7.23,24,10,0,8,637,Delhi,0,0,0
68323,14,0.685,53,29,0,4,661,Mumbai,1,0,0
43474,13,2.115,29,19,0,2,576,Hyderabad,1,0,0
122608,0,1.7120000000000002,37,7,0,7,705,Patna,0,1,0
69766,9,0.272,40,1,0,4,435,Lucknow,1,1,0
68505,2,0.96,42,16,0,5,485,Chennai,1,0,0
11500,10,3.344,47,35,1,1,580,Pune,0,1,0
71668,0,0.596,46,8,0,3,661,Delhi,0,1,0
26610,7,1.8239999999999998,48,40,0,0,289,Patna,0,1,0
107248,0,1.23,35,0,0,3,525,Chennai,1,0,0
103957,4,0.0925,58,0,1,0,428,Kolkata,1,0,0
167906,1,1.96,36,17,0,3,459,Kolkata,0,0,0
18175,9,2.0675,21,26,0,1,174,Lucknow,1,0,0
14694,0,0.8310000000000001,18,8,1,5,255,Pune,1,1,0
90766,14,2.92,58,35,0,5,833,Hyderabad,0,0,1
161779,11,8.75,32,27,1,7,721,Lucknow,0,0,1
168048,0,7.72,25,14,1,8,563,Mumbai,0,0,1
21186,2,0.418,32,10,0,7,232,Bhopal,1,1,0
50091,3,0.7480000000000001,32,13,0,0,232,Mumbai,1,1,0
25204,3,3.844,67,5,0,2,696,Lucknow,0,1,0
96883,1,1.1475,56,0,0,5,164,Pune,1,0,0
143376,11,2.38,39,8,0,0,735,Patna,0,0,1
99351,0,3.7680000000000002,35,19,0,7,514,Jaipur,0,1,0
70061,6,2.4160000000000004,33,36,1,5,583,Kolkata,0,1,0
51103,0,0.10500000000000001,19,2,0,0,163,Pune,1,1,0
38508,3,1.4325,53,0,0,1,375,Pune,1,0,0
85550,12,1.2525,37,13,0,5,185,Lucknow,1,0,0
13212,0,0.8560000000000001,33,27,1,7,87,Kolkata,1,1,0
54197,0,0.531,20,0,0,4,239,Pune,1,1,0
47940,0,0.255,47,0,0,0,310,Kolkata,1,1,0
18748,16,6.76,19,5,1,1,557,Kolkata,0,0,0
28545,0,5.43,52,21,0,3,813,Bhopal,0,0,0
92728,16,0.932,43,9,1,3,613,Pune,0,1,0
117544,16,2.2960000000000003,22,39,1,6,308,Hyderabad,0,1,0
48691,1,2.055,19,11,0,1,445,Pune,1,0,0
70562,1,0.11599999999999999,68,27,1,6,196,Bhopal,0,1,0
76087,17,6.31,37,22,1,6,641,Chennai,0,0,1
83840,5,3.5,51,34,1,6,548,Lucknow,0,0,0
47708,0,0.29300000000000004,51,0,0,2,176,Delhi,1,1,0
66005,12,3.93,37,28,0,5,656,Pune,0,0,0
192648,18,3.42,67,8,1,5,794,Mumbai,0,0,1
54353,7,8.32,42,8,0,3,334,Bhopal,0,0,0
67733,8,2.75,37,21,0,0,706,Jaipur,0,0,0
44174,10,1.8325,42,0,1,8,129,Pune,1,0,0
93354,0,0.235,70,7,0,1,650,Chennai,1,0,0
53411,14,3.8040000000000003,31,39,0,8,714,Delhi,0,1,1
108264,10,6.22,64,5,0,7,394,Patna,0,0,0
22954,10,1.7675,61,4,0,0,569,Patna,1,0,0
70322,14,0.745,60,24,0,6,339,Patna,1,0,0
69949,12,1.03,60,10,0,2,215,Patna,1,0,0
80809,0,0.56,56,6,1,8,500,Bhopal,1,0,0
68304,3,3.732,29,32,0,4,386,Pune,0,1,0
101582,12,1.22,65,1,0,2,365,Hyderabad,1,0,0
22392,6,6.3,22,0,1,7,809,Lucknow,0,0,0
25268,6,0.734,19,3,0,2,82,Delhi,1,1,0
192789,5,3.71,33,28,0,6,616,Delhi,0,0,1
23544,8,0.7200000000000001,47,8,0,6,104,Lucknow,1,1,0
91427,1,2.704,64,3,1,6,549,Lucknow,0,1,0
94809,0,1.765,60,20,1,0,299,Hyderabad,1,0,0
30553,0,0.489,55,0,0,4,82,Mumbai,1,1,0
129177,0,1.532,62,12,0,0,711,Lucknow,0,1,1
113506,18,2.22,68,4,0,6,800,Mumbai,0,0,1
68613,13,2.0625,59,0,1,7,467,Patna,1,0,0
87038,0,2.4320000000000004,41,33,0,6,451,Patna,0,1,0
103194,12,1.7760000000000002,68,6,0,0,510,Mumbai,0,1,0
22188,4,2.36,47,19,0,2,508,Pune,1,0,0
100775,0,0.12,54,1,1,2,256,Hyderabad,1,0,0
66719,6,2.125,70,0,0,6,480,Hyderabad,1,0,0
198155,19,9.98,56,2,0,3,581,Patna,0,0,1
66594,10,2.2175,28,16,1,2,321,Delhi,1,0,0
37195,0,0.81,31,14,0,5,530,Lucknow,1,1,0
32303,0,1.4960000000000002,40,26,0,5,195,Patna,0,1,0
81300,9,0.924,70,13,0,4,293,Patna,0,1,0
34184,8,0.735,33,29,0,5,67,Chennai,1,1,0
37671,2,3.05,67,31,1,2,329,Patna,0,0,0
111316,9,0.7040000000000001,38,22,0,4,698,Patna,0,1,1
38747,0,0.787,21,31,0,8,21,Delhi,1,1,0
122316,0,1.252,50,36,1,3,610,Mumbai,0,1,0
101202,9,9.14,64,2,0,1,329,Jaipur,0,0,0
66663,17,8.41,31,34,0,4,709,Patna,0,0,1
16889,9,2.12,36,4,1,2,168,Mumbai,1,0,0
106906,7,7.72,22,33,0,2,624,Mumbai,0,0,1
23169,0,0.8810000000000001,53,15,0,3,487,Kolkata,1,1,0
53225,1,0.806,48,0,1,3,297,Chennai,1,1,0
46312,3,2.4120000000000004,62,11,0,4,360,Bhopal,0,1,0
45597,5,0.296,35,0,0,6,121,Bhopal,1,1,0
49780,7,0.8880000000000001,61,10,1,3,123,Jaipur,1,1,0
17786,0,0.8410000000000001,48,0,0,6,452,Kolkata,1,1,0
102363,1,1.8920000000000003,47,27,0,8,445,Lucknow,0,1,0
53261,1,0.03900000000000001,38,5,0,2,27,Hyderabad,1,1,0
85113,2,1.5975,64,18,1,4,378,Mumbai,1,0,0
35712,4,0.051000000000000004,47,9,0,3,76,Jaipur,1,1,0
30850,5,0.926,58,32,0,8,431,Lucknow,1,1,0
63628,5,2.405,21,0,0,4,154,Delhi,1,0,0
9334,3,0.189,22,24,0,1,435,Jaipur,1,1,0
18770,2,0.676,58,28,1,0,113,Bhopal,1,1,0
147874,1,0.92,62,24,0,6,361,Lucknow,0,0,0
23155,2,7.3,27,12,1,0,351,Mumbai,0,0,0
35349,5,1.3880000000000001,44,22,0,7,295,Mumbai,0,1,0
70158,2,1.7025,33,27,1,8,166,Kolkata,1,0,0
34239,13,0.9325,47,24,0,6,557,Pune,1,0,0
36918,7,1.46,30,20,0,8,711,Pune,0,0,0
55539,3,1.015,53,25,0,5,220,Mumbai,1,0,0
16196,8,0.11299999999999999,38,27,0,6,278,Lucknow,1,1,0
162718,2,5.77,62,16,1,2,406,Bhopal,0,0,1
34013,0,0.1025,70,1,1,8,154,Mumbai,1,0,0
88383,0,2.108,57,22,0,2,538,Kolkata,0,1,0
111601,15,8.86,62,1,1,5,301,Chennai,0,0,0
67381,10,2.095,32,26,0,3,611,Kolkata,1,0,0
162443,14,8.83,37,13,0,8,571,Pune,0,0,1
45213,0,0.9220000000000002,37,32,0,0,143,Jaipur,1,1,0
81466,5,0.2625,62,0,0,8,554,Mumbai,1,0,0
177688,8,1.29,22,18,0,3,750,Patna,0,0,1
65299,14,1.3925,49,7,0,4,347,Jaipur,1,0,0
70341,5,2.235,23,16,0,0,664,Hyderabad,1,0,0
35932,14,9.74,47,0,1,0,513,Bhopal,0,0,0
73037,0,0.115,43,0,0,5,367,Delhi,1,0,0
16035,7,0.35600000000000004,54,18,0,0,407,Hyderabad,1,1,0
189088,19,2.13,30,1,0,1,352,Patna,0,0,1
8008,1,0.756,46,21,0,2,313,Mumbai,1,1,0
47496,0,0.6400000000000001,22,1,0,6,373,Delhi,1,1,0
67464,5,0.12,42,10,0,1,36,Jaipur,1,1,0
19598,11,1.936,30,15,0,4,703,Delhi,0,1,0
197479,0,6.85,41,12,0,8,383,Jaipur,0,0,1
81690,1,7.79,48,7,0,7,393,Mumbai,0,0,0
10724,0,0.05,37,22,0,7,534,Lucknow,1,0,0
21295,20,8.9,25,24,1,1,641,Lucknow,0,0,0
135885,19,5.69,26,38,1,0,849,Kolkata,0,0,1
141071,16,8.12,38,20,0,8,720,Mumbai,0,0,1
48126,15,3.232,68,37,0,3,527,Lucknow,0,1,0
14950,14,0.475,37,32,0,8,247,Delhi,1,0,0
175371,0,1.1,32,28,0,6,451,Mumbai,0,0,0
56823,9,0.7210000000000001,43,0,0,5,521,Mumbai,1,1,0
131336,5,1.56,59,17,1,8,337,Delhi,0,0,0
17056,4,0.8500000000000001,28,26,0,3,426,Hyderabad,1,1,0
20539,13,7.26,54,26,0,0,404,Jaipur,0,0,0
109682,13,2.105,58,0,1,4,284,Chennai,1,0,0
126376,10,1.1960000000000002,28,6,0,5,723,Jaipur,0,1,1
77584,7,0.7925,44,1,0,5,331,Lucknow,1,0,0
148629,20,6.71,47,9,0,0,825,Chennai,0,0,1
19076,0,0.031,36,19,1,6,131,Kolkata,1,1,0
148272,5,7.26,51,35,1,7,451,Patna,0,0,1
106175,10,2.09,55,1,1,4,215,Delhi,1,0,0
36357,10,4.15,40,34,1,1,802,Jaipur,0,0,0
73766,9,1.9125,70,26,0,1,641,Jaipur,1,0,0
60128,7,0.7000000000000001,18,36,0,4,553,Hyderabad,0,1,0
11614,10,1.2880000000000003,20,19,0,6,195,Mumbai,0,1,0
42320,0,3.8960000000000004,20,12,0,6,197,Pune,0,1,0
45507,7,0.986,45,2,0,3,408,Pune,1,1,0
70966,16,2.052,31,18,1,2,186,Lucknow,0,1,0
105272,2,9.34,69,27,1,8,544,Pune,0,0,1
53467,7,5.23,47,37,1,6,428,Patna,0,0,0
13702,0,0.292,22,0,0,1,454,Kolkata,1,1,0
38041,0,0.267,66,28,0,0,71,Patna,1,1,0
150059,17,9.3,32,18,1,1,459,Mumbai,0,0,1
48016,5,0.6880000000000001,55,36,1,2,266,Bhopal,0,1,0
60228,9,0.58,31,5,0,4,400,Pune,1,1,0
78865,10,1.39,31,22,1,2,581,Kolkata,1,0,0
105757,1,1.85,66,19,0,8,648,Hyderabad,1,0,0
65920,6,1.9960000000000002,25,35,0,3,268,Mumbai,0,1,0
55426,0,1.088,25,37,0,6,185,Chennai,0,1,0
32485,6,0.4225,36,10,0,3,203,Bhopal,1,0,0
79592,16,2.484,49,0,0,2,429,Kolkata,0,1,0
66812,0,0.7190000000000001,48,14,0,0,415,Hyderabad,1,1,0
105378,6,1.425,46,19,0,8,191,Patna,1,0,0
12451,0,0.738,58,0,0,0,111,Patna,1,1,0
58451,0,0.142,28,32,0,0,171,Patna,1,1,0
99427,4,3.5280000000000005,62,17,0,0,452,Patna,0,1,0
72259,9,1.455,30,30,1,4,649,Hyderabad,1,0,0
62333,1,1.27,44,24,0,6,618,Patna,0,0,0
149508,0,4.62,36,17,0,6,381,Hyderabad,0,0,0
32608,0,0.845,43,0,0,0,74,Delhi,1,1,0
98778,14,3.5920000000000005,70,18,0,5,608,Jaipur,0,1,1
107776,6,1.06,68,11,1,8,639,Patna,0,1,1
45746,11,7.11,54,24,0,5,645,Jaipur,0,0,0
23014,1,0.1,65,26,0,3,248,Bhopal,1,1,0
106961,0,0.085,26,0,0,8,506,Lucknow,1,0,0
24683,2,0.5599999999999999,45,0,1,2,362,Lucknow,1,1,0
73377,3,2.7800000000000002,49,0,0,3,475,Mumbai,0,1,0
185862,8,7.96,69,7,1,3,367,Kolkata,0,0,1
43777,0,0.34,20,30,0,3,437,Delhi,1,1,0
98586,16,0.028000000000000004,68,17,0,5,711,Lucknow,0,1,1
59498,8,1.2,49,0,0,6,252,Kolkata,1,0,0
66793,0,0.016,22,0,0,8,294,Hyderabad,1,1,0
21704,9,0.09200000000000001,25,0,0,2,295,Jaipur,1,1,0
76664,7,1.308,31,28,1,7,212,Jaipur,0,1,0
81000,0,1.7480000000000002,20,0,0,7,553,Hyderabad,0,1,0
66540,1,0.6975,41,21,0,0,151,Bhopal,1,0,0
49736,0,0.5820000000000001,30,0,0,4,304,Jaipur,1,1,0
90563,8,0.1375,60,0,0,4,227,Jaipur,1,0,0
38014,0,0.58,46,21,0,7,275,Jaipur,0,1,0
35030,0,0.6950000000000001,25,0,0,7,65,Kolkata,1,1,0
18307,0,0.142,68,9,0,1,520,Pune,1,1,0
58525,9,6.4,59,24,1,2,529,Chennai,0,0,0
125628,16,0.22000000000000003,48,19,0,1,537,Hyderabad,0,1,1
116159,10,1.6280000000000001,43,30,0,0,581,Mumbai,0,1,1
43014,10,0.4425,35,21,0,1,218,Lucknow,1,0,0
48828,5,1.1,35,15,0,5,570,Delhi,0,0,0
58909,0,0.5670000000000001,24,0,1,0,361,Patna,1,1,0
10131,6,2.32,65,8,0,5,283,Lucknow,1,0,0
61463,9,0.1375,55,1,0,0,647,Mumbai,1,0,0
95142,3,1.688,65,6,1,1,348,Pune,0,1,0
105219,8,1.77,33,0,0,7,140,Delhi,1,0,0
84691,12,1.852,50,16,0,5,719,Pune,0,1,1
139019,16,8.06,68,8,0,8,696,Kolkata,0,0,1
80726,12,1.8,20,8,0,0,335,Delhi,0,0,0
55971,6,0.96,55,28,1,4,494,Delhi,1,1,0
84934,1,1.54,21,23,0,6,493,Lucknow,0,1,0
7543,6,0.342,53,30,0,8,489,Chennai,1,1,0
108024,9,2.1875,21,2,0,8,395,Patna,1,0,0
86459,9,2.256,59,7,0,3,412,Hyderabad,0,1,0
14886,2,0.516,26,16,0,3,435,Hyderabad,1,1,0
117426,1,2.908,57,1,0,3,185,Patna,0,1,0
178817,2,5.8,68,9,1,2,834,Hyderabad,0,0,1
109957,9,0.652,34,23,0,7,423,Delhi,0,1,0
77184,9,2.696,34,15,0,4,420,Kolkata,0,1,0
108876,8,0.3325,50,10,0,6,392,Delhi,1,0,0
33560,3,3.224,37,30,1,5,254,Delhi,0,1,0
31456,4,0.9900000000000001,31,2,0,8,282,Hyderabad,1,1,0
6797,2,0.377,39,0,0,2,534,Pune,1,1,0
16960,12,1.7800000000000002,69,5,1,5,266,Delhi,0,1,0
18188,14,0.115,44,23,0,2,268,Chennai,1,0,0
33005,0,0.05600000000000001,60,38,0,1,329,Lucknow,0,1,0
46772,1,3.6840000000000006,20,12,1,2,339,Mumbai,0,1,0
63098,0,0.516,41,2,1,1,625,Kolkata,0,1,0
9197,6,0.446,47,32,0,1,81,Mumbai,1,1,0
124207,0,3.2600000000000002,25,34,0,6,186,Hyderabad,0,1,0
95602,8,2.2225,39,29,0,2,301,Hyderabad,1,0,0
78561,0,2.076,42,16,1,7,705,Lucknow,0,1,0
52143,9,0.5650000000000001,27,0,1,1,477,Lucknow,1,1,0
78331,1,2.68,66,33,0,6,362,Mumbai,0,1,0
38361,0,2.4025,46,3,0,2,433,Patna,1,0,0
13520,13,2.4120000000000004,57,23,0,8,353,Bhopal,0,1,0
90894,11,1.3975,18,0,0,6,133,Delhi,1,0,0
127244,0,0.06,69,10,0,8,479,Bhopal,0,1,0
70450,6,0.08100000000000002,38,18,0,1,72,Pune,1,1,0
44592,13,5.77,56,23,1,5,813,Kolkata,0,0,1
9168,3,0.9359999999999999,41,9,0,4,342,Patna,1,1,0
100612,8,3.468,26,26,0,1,575,Mumbai,0,1,0
125627,6,9.83,61,40,0,3,632,Chennai,0,0,1
55455,7,2.112,43,20,0,3,534,Patna,0,1,0
6208,4,0.788,26,25,1,7,162,Mumbai,1,1,0
33095,8,0.8400000000000001,37,24,0,6,115,Kolkata,1,1,0
21655,10,6.48,52,17,1,4,702,Chennai,0,0,0
46767,8,0.8475,53,0,0,8,198,Pune,1,0,0
66899,7,1.8800000000000001,59,23,0,0,626,Lucknow,0,1,0
90379,0,3.4320000000000004,53,0,0,3,187,Hyderabad,0,1,0
159475,16,2.99,26,5,1,4,322,Pune,0,0,0
16836,0,0.924,39,10,1,7,542,Bhopal,1,1,0
102074,14,0.9199999999999999,18,21,1,2,593,Mumbai,0,1,0
76924,13,1.875,22,0,0,4,528,Jaipur,1,0,0
73608,0,1.5775,26,0,0,2,141,Bhopal,1,0,0
108848,2,7.5,54,8,1,6,702,Hyderabad,0,0,1
24281,5,0.43700000000000006,55,12,0,2,156,Kolkata,1,1,0
69997,1,0.933,36,19,0,6,329,Kolkata,1,1,0
77627,1,1.58,25,0,0,1,141,Lucknow,1,0,0
127641,12,1.152,59,23,0,6,651,Kolkata,0,1,1
24490,2,2.552,60,7,0,8,443,Pune,0,1,0
25242,0,0.28700000000000003,49,8,1,4,302,Mumbai,1,1,0
16453,7,0.294,30,25,0,5,464,Mumbai,1,1,0
85313,0,4.0,37,19,0,2,463,Patna,0,0,0
92828,0,3.408,53,15,0,4,315,Pune,0,1,0
109492,0,1.25,60,1,0,4,371,Patna,1,0,0
71685,8,2.716,61,33,1,2,384,Patna,0,1,0
161410,5,3.92,54,9,1,7,601,Mumbai,0,0,1
70747,7,0.66,47,21,1,5,361,Jaipur,1,0,0
107627,0,3.8200000000000003,27,29,0,2,240,Jaipur,0,1,0
9928,9,1.51,48,16,0,0,584,Bhopal,1,0,0
69647,4,0.934,42,32,0,0,301,Delhi,1,1,0
46364,4,0.20299999999999999,46,0,1,1,471,Lucknow,1,1,0
56229,0,0.3675,41,11,0,4,513,Lucknow,1,0,0
178165,7,8.56,56,16,1,6,558,Hyderabad,0,0,1
185806,15,6.81,38,2,0,0,841,Kolkata,0,0,1
88523,15,1.87,58,39,0,0,829,Lucknow,0,0,1
71159,0,1.076,26,35,0,3,366,Jaipur,0,1,0
11446,2,0.801,59,17,0,5,211,Kolkata,1,1,0
98613,12,4.54,59,9,1,8,334,Patna,0,0,0
55919,0,1.6775,19,25,0,0,266,Bhopal,1,0,0
48865,0,0.795,21,5,0,4,401,Chennai,1,0,0
34945,0,0.381,25,0,0,8,546,Bhopal,1,1,0
43251,14,9.91,49,26,0,7,548,Pune,0,0,0
42356,0,0.248,31,1,0,6,56,Kolkata,1,1,0
45604,0,0.506,66,6,0,1,304,Chennai,1,1,0
40945,6,8.44,30,36,0,8,821,Patna,0,0,0
37841,2,0.23900000000000002,38,13,0,7,360,Lucknow,1,1,0
30691,0,1.6600000000000001,41,30,0,8,416,Lucknow,0,1,0
15150,3,2.4600000000000004,67,1,0,8,413,Jaipur,0,1,0
11521,0,1.2025,35,22,0,8,342,Chennai,1,0,0
108934,5,1.15,62,5,0,2,446,Hyderabad,1,0,0
