economy,economycode,regionwb,pop_adult,wpid_random,wgt,female,age,educ,inc_q,emp_in,urbanicity_f2f,account,account_fin,account_mob,fin1_1a,fin1_1b,fin2,fin4,fin4a,fin5,fin6,fin7,fin8,fin8a,fin8b,fin9,fin9a,fin10,fin10_1a,fin10_1b,fin10_1c,fin10_1d,fin10_1e,fin10a,fin10b,fin11_1,fin11a,fin11b,fin11c,fin11d,fin11e,fin11f,fin11g,fin11h,fin13_1a,fin13_1b,fin13_1c,fin13_1d,fin13_1e,fin13_1f,fin13a,fin13b,fin13c,fin13d,fin14_1,fin14_2,fin14_2_China,fin14a,fin14a1,fin14b,fin14c,fin14c_2,fin14c_2_China,fin16,fin17a,fin17a1,fin17b,fin20,fin22a,fin22b,fin22c,fin24,fin24a,fin24b,fin26,fin27_1,fin27c1,fin27c2,fin28,fin29_1,fin29c1,fin29c2,fin30,fin31a,fin31b,fin31b1,fin31b1_China,fin31c,fin32,fin33,fin34a,fin34b,fin34d,fin34e,fin35,fin37,fin38,fin39a,fin39b,fin39d,fin39e,fin42,fin42a,fin43a,fin43b,fin43d,fin43e,fin44a,fin44b,fin44c,fin44d,fin45,fin45_1,fin45_1_China,saved,borrowed,receive_wages,receive_transfers,receive_pension,receive_agriculture,pay_utilities,remittances,mobileowner,internetaccess,anydigpayment,merchantpay_dig,year
Nepal,NPL,South Asia,20742576.0,154947268,0.929177670819957,1,40.0,1,3,1.0,2.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,2,2.0,1.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,1,1,6.0,1.0,,0,0,4,4,4,4.0,4,5.0,1,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,118197086,1.5564198306372,1,40.0,1,4,1.0,1.0,1,1,0.0,2.0,2.0,2,,,2.0,2.0,2.0,,,,2.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,1.0,1,2,1,2.0,3,2.0,2.0,2.0,,,,2.0,,,,1,2.0,2.0,,,1.0,2,,,,,,,2,2,,,,,1.0,1.0,2.0,2.0,1.0,,1,1,3,1,4.0,2.0,,1,1,4,4,4,2.0,2,5.0,1,1,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,135812552,0.755388764310493,1,60.0,1,3,1.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,1,2,,3,1.0,1.0,2.0,,,,2.0,,,,1,2.0,2.0,,,1.0,1,2.0,2.0,2.0,1.0,,,2,2,,,,,1.0,1.0,2.0,2.0,1.0,,1,3,1,3,1.0,1.0,,0,1,2,4,4,2.0,2,5.0,1,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,157900120,0.54278269940267,1,32.0,2,2,2.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,1,1.0,1.0,1.0,1.0,,,2.0,,,,1,2.0,2.0,,,1.0,2,,,,,,,2,2,,,,,1.0,1.0,2.0,2.0,1.0,,1,1,1,1,2.0,2.0,,0,0,4,4,4,2.0,2,1.0,2,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,142310858,0.574014266264062,1,20.0,2,5,1.0,2.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,7,,,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,3,2,,,,,2.0,,,,,,1,1,1,1,2.0,2.0,,0,0,4,5,4,4.0,4,5.0,2,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,115010752,0.632747478278382,2,18.0,2,2,1.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,1,2,1,,2,1.0,2.0,2.0,,,,2.0,,,,1,2.0,2.0,,,1.0,2,,,,,,,2,2,,,,,2.0,,,,,,2,2,2,3,2.0,3.0,,0,1,4,4,4,4.0,2,5.0,2,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,185056192,0.263544210014897,2,29.0,2,5,1.0,1.0,1,1,1.0,1.0,2.0,1,2.0,,1.0,1.0,2.0,,,,2.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2,,,2,1,2,,,,2,2,2.0,2.0,2,2,1,,2,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,1,1,4.0,1.0,,0,1,4,4,4,4.0,4,2.0,1,1,1,0.0,2021
Nepal,NPL,South Asia,20742576.0,156218220,2.10233016945879,1,30.0,1,1,1.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,1,2,1,,3,1.0,4.0,2.0,,,,2.0,,,,1,2.0,2.0,,,1.0,2,,,,,,,2,2,,,,,1.0,1.0,2.0,2.0,1.0,,1,1,2,1,2.0,2.0,,0,1,4,4,4,2.0,2,5.0,1,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,155053729,0.968971090145655,1,29.0,1,1,2.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,1,,2,1.0,1.0,2.0,,,,1.0,2.0,2.0,2.0,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,1,1,3.0,2.0,,0,1,4,4,4,4.0,4,4.0,1,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,208092028,0.861105301722445,2,31.0,2,2,1.0,2.0,1,1,1.0,2.0,2.0,1,2.0,,1.0,1.0,2.0,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,3.0,3.0,3.0,2,,,2,1,1,3.0,1.0,,2,2,3.0,2.0,1,1,1,,1,2.0,2.0,1.0,1.0,,,1.0,1.0,,,2,,,,,,1,1.0,1.0,1.0,,,1.0,2,2,,,,,2.0,,,,,,3,5,3,3,,2.0,,1,1,1,4,4,4.0,4,1.0,1,1,1,1.0,2021
Nepal,NPL,South Asia,20742576.0,138109002,1.45591610990998,2,37.0,1,5,1.0,1.0,1,1,0.0,1.0,2.0,2,,,2.0,2.0,2.0,,,,2.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,1,,2.0,1,1,1,,3,3.0,3.0,2.0,,,,2.0,,,,1,2.0,2.0,,,2.0,1,2.0,2.0,2.0,1.0,,,2,2,,,,,1.0,1.0,2.0,2.0,1.0,,1,1,1,2,1.0,3.0,,1,1,2,4,4,2.0,3,5.0,1,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,161477090,0.968971090145655,1,34.0,1,1,2.0,1.0,1,1,0.0,2.0,2.0,1,2.0,,2.0,2.0,2.0,,,,2.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,1,2,1,,2,2.0,1.0,2.0,,,,2.0,,,,3,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,1,1,2.0,1.0,,0,1,4,4,4,4.0,5,5.0,1,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,200803959,1.73905414714672,1,54.0,1,1,1.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,1,,7,,,2.0,,,,2.0,,,,1,2.0,2.0,,,1.0,2,,,,,,,2,2,,,,,2.0,,,,,,2,1,1,1,1.0,1.0,,0,1,4,4,4,4.0,2,5.0,1,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,136259428,0.689446262537218,2,48.0,1,2,1.0,2.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,2,,,1,2,2,,,,2,2,,2.0,1,2,1,,3,1.0,1.0,2.0,,,,1.0,2.0,1.0,2.0,2,,,,,,1,2.0,2.0,2.0,1.0,,,2,2,,,,,2.0,,,,,,1,1,1,1,3.0,1.0,,0,1,2,4,4,4.0,4,3.0,1,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,169967039,2.40190886718715,1,44.0,1,2,1.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,1,,2,1.0,1.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,2,1,1,1,2.0,2.0,,0,1,4,4,4,4.0,4,5.0,2,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,116363573,0.343032799277418,2,52.0,1,2,1.0,2.0,1,1,0.0,,,1,2.0,,2.0,2.0,2.0,,,,2.0,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,3,1.0,1.0,2.0,,,,2.0,,,,2,,,,,,1,2.0,1.0,2.0,,,2.0,2,2,,,,,2.0,,,,,,1,1,1,1,3.0,3.0,,0,0,1,4,4,4.0,4,5.0,1,2,1,0.0,2021
Nepal,NPL,South Asia,20742576.0,160951525,0.269338090905908,1,58.0,1,5,1.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,1,,2,1.0,1.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,1,1,2,3,2.0,1.0,,0,1,4,4,4,4.0,4,5.0,2,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,167897837,0.416080356599939,1,22.0,2,1,1.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,3.0,,,,,,,,,,,2,,,2,2,2,,,,2,1,,1.0,1,1,2,2.0,8,,,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,2,1,2.0,2.0,2.0,2.0,2.0,,,,,,1,1,1,1,2.0,3.0,,1,1,4,4,3,4.0,4,5.0,1,1,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,139883802,0.814692676021976,1,70.0,1,5,2.0,2.0,1,1,0.0,2.0,1.0,2,,,2.0,2.0,2.0,,,,2.0,,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,1,3.0,2.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,1,2,1.0,2.0,,,2.0,,,,,,1,2,3,3,1.0,1.0,,0,0,4,1,4,4.0,4,5.0,2,2,1,0.0,2021
Nepal,NPL,South Asia,20742576.0,116209694,0.313432458262812,1,40.0,3,5,1.0,2.0,1,1,0.0,2.0,2.0,1,2.0,,2.0,1.0,2.0,,,,1.0,2.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,1,,1.0,2,2,2,2.0,1,3.0,3.0,2.0,,,,2.0,,,,1,1.0,2.0,2.0,,,1,2.0,1.0,2.0,,,2.0,3,2,,,,,2.0,,,,,,3,2,3,3,,2.0,,1,0,1,5,4,4.0,1,5.0,1,1,1,0.0,2021
Nepal,NPL,South Asia,20742576.0,168390204,0.319119065262408,2,23.0,2,5,1.0,2.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,2,3.0,2.0,2.0,,,,1.0,1.0,,,2,,,,,,2,,,,,,,2,2,,,,,2.0,,,,,,3,2,2,2,3.0,2.0,,0,0,4,4,4,4.0,4,1.0,1,1,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,204400172,0.966814531440367,2,50.0,1,2,1.0,1.0,1,1,0.0,1.0,2.0,2,,,1.0,2.0,2.0,,,,1.0,2.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2,,,1,1,2,,,,2,1,2.0,1.0,1,1,1,1.0,6,3.0,3.0,1.0,1.0,,,2.0,,,,1,1.0,2.0,1.0,,,2,,,,,,,2,2,,,,,1.0,1.0,2.0,2.0,1.0,,1,1,1,2,1.0,1.0,,1,1,4,4,4,2.0,1,1.0,1,1,1,0.0,2021
Nepal,NPL,South Asia,20742576.0,181714261,0.263544210014897,1,32.0,2,3,1.0,1.0,1,1,0.0,2.0,2.0,2,,,2.0,1.0,2.0,,,,1.0,2.0,1.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,1,,1.0,2,2,2,2.0,1,2.0,2.0,1.0,1.0,,,2.0,,,,1,2.0,2.0,,,1.0,2,,,,,,,2,2,,,,,1.0,1.0,2.0,2.0,1.0,,1,1,1,2,2.0,1.0,,1,0,4,4,4,2.0,2,1.0,1,1,1,0.0,2021
Nepal,NPL,South Asia,20742576.0,172147755,0.298004662809706,2,65.0,1,5,1.0,1.0,1,1,0.0,2.0,2.0,2,,,2.0,2.0,2.0,,,,2.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,3,2.0,1.0,2.0,,,,1.0,2.0,2.0,2.0,1,2.0,2.0,,,1.0,2,,,,,,,2,2,,,,,2.0,,,,,,2,3,2,3,6.0,3.0,,0,0,4,4,4,4.0,2,4.0,1,2,0,0.0,2021
Nepal,NPL,South Asia,20742576.0,156075412,0.45232439497242,2,80.0,1,4,1.0,1.0,1,1,0.0,2.0,1.0,2,,,2.0,2.0,2.0,,,,1.0,2.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,1,1,,2.0,2,2,2,,1,3.0,3.0,2.0,,,,2.0,,,,2,,,,,,2,,,,,,,1,2,1.0,2.0,,,1.0,1.0,2.0,2.0,1.0,,3,3,3,3,,3.0,,1,0,4,1,4,2.0,4,5.0,1,2,1,0.0,2021
Nepal,NPL,South Asia,20742576.0,182805659,1.37213119710967,2,50.0,1,1,1.0,1.0,1,1,0.0,2.0,2.0,2,,,2.0,2.0,2.0,,,,2.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,1,,1.0,2,2,2,2.0,4,1.0,1.0,2.0,,,,2.0,,,,1,1.0,2.0,1.0,,,2,,,,,,,2,2,,,,,1.0,1.0,2.0,2.0,1.0,,1,1,1,1,1.0,1.0,,1,0,4,4,4,2.0,1,5.0,1,2,1,0.0,2021
Nepal,NPL,South Asia,20742576.0,179308165,1.25895819815996,1,38.0,1,4,1.0,2.0,1,1,0.0,2.0,1.0,2,,,2.0,2.0,2.0,,,,2.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,2,,2,2.0,1.0,2.0,,,,2.0,,,,1,2.0,2.0,,,2.0,2,,,,,,,1,2,1.0,2.0,,,2.0,,,,,,2,2,3,2,2.0,2.0,,0,0,4,1,4,4.0,3,5.0,1,1,1,0.0,2021
Nepal,NPL,South Asia,20742576.0,127911778,0.263544210014897,2,50.0,2,2,2.0,1.0,0,0,0.0,,,2,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,2,,,2,2,2,,,,2,2,,2.0,2,2,1,,2,1.0,1.0,2.0,,,,2.0,,,,1,2.0,2.0,,,2.0,2,,,,,,,2,2,,,,,1.0,1.0,2.0,2.0,1.0,,1,1,1,1,2.0,1.0,,0,1,4,4,4,2.0,3,5.0,1,2,0,0.0,2021
