is_female,has_account,has_borrowed,saved,inc_q,educ,age,is_urban,is_employed,has_mobile,has_internet,has_digital_payment,receives_remittances
0,0,1,0,3,1,17.0,0,1,1,0,0,0
1,1,0,1,4,1,50.0,1,0,0,0,1,0
0,0,0,0,4,1,45.0,0,1,1,0,0,0
1,1,0,1,5,1,37.0,0,0,1,1,0,0
1,0,1,1,5,2,20.0,0,1,1,1,0,0
0,0,1,0,2,1,32.0,1,1,1,1,0,0
1,1,0,1,4,2,35.0,1,1,1,0,1,1
1,0,0,0,5,2,17.0,1,0,1,1,0,0
0,1,1,1,5,3,28.0,0,1,1,1,1,0
0,1,0,0,5,2,30.0,0,1,1,1,1,1
0,1,0,1,4,1,64.0,1,1,1,1,1,0
0,0,1,0,1,1,32.0,1,1,1,1,0,0
0,1,0,0,1,1,71.0,1,1,1,0,1,0
0,1,0,1,3,2,21.0,1,1,1,1,1,0
1,1,1,1,1,2,19.0,0,1,1,1,0,0
1,1,1,1,1,1,20.0,1,0,1,0,0,0
1,1,1,1,1,1,38.0,1,1,1,0,0,0
1,1,0,0,4,1,65.0,1,1,1,0,0,0
1,1,1,0,3,2,33.0,0,1,1,1,0,0
1,0,1,0,3,1,32.0,0,1,1,0,0,0
0,0,1,0,3,2,20.0,0,1,1,1,0,0
0,1,0,0,5,2,18.0,0,0,1,1,1,1
0,1,1,1,3,1,52.0,0,1,1,0,1,0
0,1,1,1,5,2,32.0,0,1,1,1,1,1
1,1,0,0,5,1,43.0,1,1,1,0,0,0
1,0,0,0,4,1,50.0,0,1,0,0,0,0
0,1,0,0,3,1,78.0,1,1,1,0,1,0
1,1,1,0,5,2,22.0,0,0,1,1,0,0
0,1,1,0,5,2,35.0,0,1,1,1,1,1
0,1,0,1,4,1,76.0,1,0,1,0,1,1
0,0,1,0,2,1,66.0,1,1,0,0,0,0
0,1,0,1,3,1,30.0,1,1,1,0,1,0
0,1,0,1,5,3,25.0,0,1,1,1,0,0
0,1,1,0,1,1,50.0,0,1,0,0,0,0
0,1,0,0,2,1,47.0,1,1,1,0,1,0
0,1,1,1,5,3,35.0,0,1,1,1,1,0
1,1,0,0,4,2,27.0,0,1,1,1,1,1
0,0,0,0,2,1,70.0,1,1,0,0,0,0
1,1,0,0,3,1,57.0,1,1,1,0,1,0
1,0,0,0,4,1,43.0,1,1,0,0,0,0
0,0,0,0,1,1,15.0,1,1,1,0,0,0
1,1,0,0,3,1,70.0,1,1,0,0,0,0
0,1,1,0,5,2,21.0,0,0,1,1,1,1
1,0,0,0,2,2,16.0,1,0,1,1,0,0
1,1,1,1,5,1,43.0,0,1,1,1,1,1
0,1,0,0,4,1,38.0,1,1,1,0,1,0
1,1,1,1,5,1,60.0,1,1,1,1,1,0
0,0,1,1,2,1,15.0,1,1,0,0,0,0
1,1,0,1,2,2,31.0,1,1,1,0,0,0
0,0,0,0,1,1,34.0,1,1,1,0,0,0
1,1,0,0,2,1,23.0,1,0,0,0,0,0
1,0,0,0,3,2,17.0,1,1,1,0,0,0
0,1,0,1,5,2,40.0,0,1,1,1,1,1
1,0,0,0,1,1,28.0,1,0,0,0,0,0
1,1,1,0,4,1,43.0,1,1,1,1,0,0
0,1,1,1,4,1,40.0,1,1,1,1,1,0
0,0,0,0,5,2,18.0,1,0,1,1,0,0
1,1,0,0,5,1,38.0,0,1,1,1,1,0
1,0,0,0,1,1,70.0,1,0,0,0,0,0
1,0,1,0,3,2,20.0,1,1,1,1,0,1
1,0,1,0,3,2,27.0,1,0,1,1,0,0
1,0,1,0,4,1,17.0,0,1,1,0,0,0
0,1,1,1,4,1,31.0,0,1,1,1,1,1
1,0,0,0,3,1,23.0,1,0,1,0,0,0
1,0,0,0,3,2,21.0,1,0,1,1,0,0
1,0,0,0,5,2,21.0,1,1,1,1,0,0
1,1,1,0,2,1,40.0,1,1,1,0,0,0
1,0,1,1,5,2,52.0,0,0,1,1,0,0
1,1,1,1,5,1,58.0,0,1,1,0,1,1
1,1,0,1,2,1,51.0,1,1,1,0,0,0
0,1,0,0,5,1,74.0,1,0,1,0,1,1
0,1,1,1,2,3,36.0,1,1,1,1,1,1
0,1,1,1,4,3,45.0,1,1,1,1,1,1
1,1,0,1,5,2,45.0,0,0,1,1,0,0
0,1,0,1,5,2,20.0,1,1,1,1,0,0
1,1,1,0,5,2,18.0,0,1,1,1,0,0
0,0,1,0,2,2,42.0,0,1,1,0,0,0
0,1,0,0,2,1,28.0,1,1,1,0,0,0
1,1,0,0,5,3,25.0,1,0,1,1,0,0
0,0,0,0,2,1,42.0,0,0,0,0,0,0
1,0,0,1,5,1,51.0,1,1,1,0,0,0
0,0,0,0,4,1,55.0,0,1,0,0,0,0
0,1,1,1,4,2,40.0,1,1,1,1,1,1
1,0,1,0,3,2,28.0,1,1,1,0,0,0
0,1,0,0,2,1,27.0,1,1,1,0,0,0
0,1,0,0,4,2,79.0,1,0,1,0,1,0
0,1,0,0,2,1,46.0,1,1,1,0,0,0
0,0,0,0,1,2,52.0,0,1,1,1,0,0
1,0,1,1,1,1,24.0,1,1,1,0,0,0
1,1,1,1,2,1,33.0,1,1,1,0,0,0
0,1,0,1,5,2,36.0,0,1,1,1,1,0
0,0,0,0,4,1,56.0,1,1,1,0,0,0
1,0,1,0,1,1,60.0,1,1,0,0,0,0
0,0,1,0,1,1,85.0,0,0,0,0,0,0
0,1,1,0,3,2,22.0,0,0,1,1,1,1
0,0,1,0,2,2,55.0,1,1,0,0,0,0
1,1,0,1,5,1,33.0,0,1,1,1,0,0
0,0,0,0,1,1,60.0,1,1,0,0,0,0
1,0,1,0,1,1,16.0,1,1,0,0,0,0
0,1,1,0,5,1,55.0,1,1,1,0,0,0
1,1,0,0,3,2,22.0,1,1,1,1,0,0
0,1,0,0,5,2,20.0,0,0,1,1,1,1
1,0,0,0,1,1,30.0,1,1,0,0,0,0
1,1,0,1,5,2,36.0,0,1,1,0,0,0
0,0,0,0,3,2,20.0,0,0,1,1,0,0
1,1,0,0,4,2,19.0,1,1,1,1,0,0
1,1,1,1,4,2,50.0,1,1,1,1,0,0
1,1,0,0,1,1,56.0,1,0,1,0,1,0
1,1,1,1,2,1,38.0,1,0,1,1,1,1
1,0,1,0,2,1,21.0,1,1,1,0,0,0
0,0,0,0,5,2,18.0,0,0,1,1,0,0
1,1,0,0,1,1,33.0,0,0,0,0,0,0
1,0,0,1,2,1,35.0,1,1,1,1,0,0
1,1,1,1,4,3,36.0,1,1,1,1,1,0
1,1,0,1,5,2,17.0,0,1,1,1,1,0
1,1,1,1,2,1,16.0,1,1,0,0,1,1
1,0,0,0,1,1,75.0,1,1,0,0,0,0
1,0,0,0,3,1,50.0,1,1,0,0,0,0
0,0,0,0,2,1,35.0,0,1,0,0,0,0
0,0,1,0,3,2,18.0,1,1,1,1,0,0
0,1,0,0,5,2,21.0,0,0,1,1,0,0
1,1,1,1,5,1,48.0,1,0,1,0,1,0
0,1,1,1,1,1,16.0,1,1,1,0,1,0
1,1,1,1,2,1,37.0,1,1,1,0,0,0
1,0,0,0,2,1,66.0,1,1,1,0,0,0
1,0,1,1,5,1,32.0,0,1,1,1,0,0
1,1,0,1,1,1,65.0,1,0,0,0,1,0
1,1,0,1,4,1,50.0,1,1,1,0,1,1
1,0,1,0,3,1,32.0,1,1,1,0,0,0
1,1,1,0,4,1,56.0,1,1,1,0,0,0
0,1,1,1,5,2,21.0,0,1,1,1,1,1
1,0,0,0,5,1,60.0,1,0,1,0,0,0
1,0,1,0,3,1,25.0,0,0,1,0,0,0
1,1,1,0,3,1,38.0,1,1,0,0,1,0
1,1,0,0,4,1,80.0,0,0,0,0,1,0
1,1,1,0,3,1,50.0,1,1,0,0,0,0
1,1,1,1,4,1,46.0,1,1,0,0,1,1
0,0,0,0,2,2,31.0,1,1,0,0,0,0
0,1,0,0,5,2,22.0,1,0,1,1,1,0
1,0,0,0,5,1,21.0,0,0,1,0,0,0
1,0,1,0,4,2,25.0,1,0,0,0,0,0
1,1,1,1,4,2,43.0,1,1,1,1,1,0
0,0,1,0,1,1,30.0,1,1,0,0,0,0
0,1,1,0,5,2,22.0,0,0,1,1,0,0
1,0,1,1,4,1,37.0,0,1,1,0,0,1
0,0,0,0,1,2,22.0,1,1,1,1,0,1
0,0,0,0,5,1,60.0,0,1,0,0,0,0
1,1,0,1,3,2,21.0,0,1,1,1,0,0
0,1,0,0,4,1,63.0,1,1,1,1,1,0
0,1,1,1,5,3,24.0,1,1,1,1,1,1
0,1,1,0,1,1,85.0,1,0,1,0,1,0
1,0,0,0,3,1,60.0,1,1,0,0,0,0
1,0,0,0,1,1,32.0,1,1,1,0,0,0
0,0,0,0,3,2,17.0,1,1,1,1,0,0
1,1,0,0,4,2,30.0,1,1,0,0,0,0
1,1,0,1,4,2,15.0,1,0,1,1,1,0
0,1,0,1,5,1,73.0,1,1,1,0,0,0
0,1,0,1,5,1,21.0,1,0,1,1,1,0
0,1,0,1,5,2,28.0,1,1,1,1,1,1
0,0,1,1,1,1,32.0,1,1,0,0,0,0
1,1,1,0,1,1,31.0,1,1,1,0,1,1
1,0,1,0,2,1,58.0,1,1,1,0,0,1
1,0,0,0,5,2,16.0,1,0,0,0,0,0
0,1,1,1,5,2,35.0,0,1,1,1,1,1
1,1,1,0,3,1,20.0,1,1,0,0,0,0
0,1,0,0,5,2,22.0,0,1,1,1,1,1
1,1,1,1,3,1,42.0,1,1,1,0,0,0
1,1,1,0,3,1,33.0,1,1,1,0,0,0
0,1,0,1,1,1,47.0,1,1,1,0,1,1
1,0,1,0,2,1,34.0,1,1,1,0,0,1
1,1,1,1,3,1,41.0,1,1,1,0,0,0
0,0,1,0,2,2,24.0,1,1,1,0,0,0
1,0,0,0,1,1,37.0,1,1,1,0,0,0
1,0,0,0,5,1,45.0,1,0,0,0,0,0
1,1,1,1,5,2,27.0,1,1,1,0,1,1
1,0,1,1,1,3,30.0,1,1,1,0,0,0
0,1,0,0,5,3,24.0,1,1,1,1,1,1
1,0,1,1,1,1,56.0,1,1,1,0,0,0
1,1,1,1,5,2,20.0,1,0,1,1,1,1
1,1,0,1,4,2,30.0,1,1,1,1,1,1
0,1,1,0,3,1,27.0,1,1,1,1,0,0
1,0,0,0,4,2,16.0,0,0,0,0,0,0
1,0,0,0,4,2,21.0,1,1,1,1,0,0
1,0,0,0,1,1,35.0,1,1,0,0,0,0
0,1,1,0,2,1,56.0,1,1,1,0,1,0
0,1,0,0,1,1,69.0,1,1,1,0,0,0
1,1,1,1,4,1,35.0,1,1,1,1,1,0
0,1,0,0,1,2,27.0,1,1,1,1,1,1
1,1,0,0,4,1,38.0,1,0,1,0,0,0
0,0,1,1,3,2,58.0,1,1,1,0,0,1
1,0,1,0,3,1,32.0,1,1,1,0,0,1
0,1,0,0,5,2,30.0,0,0,1,1,1,0
1,0,0,0,4,1,63.0,1,1,1,0,0,0
0,0,0,0,5,1,57.0,1,1,1,0,0,0
0,1,0,1,5,2,29.0,0,1,1,1,1,0
1,1,1,1,5,2,32.0,0,1,1,1,1,0
1,0,1,1,3,2,21.0,1,0,1,1,0,0
1,1,1,0,2,1,55.0,1,1,1,0,0,0
1,1,0,0,3,1,65.0,1,1,1,0,1,0
0,1,1,0,2,1,32.0,1,1,1,0,1,1
1,1,0,0,5,2,35.0,0,1,1,1,0,0
0,1,0,0,2,2,43.0,0,1,1,1,0,0
1,1,0,1,3,2,42.0,1,1,1,0,1,1
1,1,0,1,2,1,67.0,1,1,1,0,0,0
1,0,0,0,5,1,52.0,1,1,0,0,0,0
1,0,0,0,2,1,40.0,1,0,1,0,0,0
0,0,0,1,4,2,50.0,1,1,1,0,0,0
0,0,1,1,1,1,60.0,1,1,1,1,0,0
1,1,0,0,2,2,23.0,1,1,1,0,1,0
0,1,0,1,4,2,16.0,0,1,1,1,1,0
1,1,0,0,5,2,21.0,0,1,1,1,0,0
1,1,0,0,4,1,68.0,0,0,1,0,1,0
0,1,0,1,1,2,44.0,0,1,1,1,0,0
1,1,1,1,3,1,22.0,0,0,1,1,1,1
0,0,0,0,1,1,16.0,1,1,1,0,0,0
0,1,0,0,3,1,52.0,1,1,1,0,0,0
1,1,0,0,1,1,43.0,1,1,1,0,0,0
0,1,1,1,4,1,76.0,1,1,0,0,1,0
0,0,0,0,3,2,17.0,1,0,1,1,0,1
1,1,0,1,3,1,32.0,0,1,1,1,0,0
0,1,0,0,2,2,17.0,1,1,1,1,1,0
0,1,1,1,5,2,34.0,1,1,1,1,1,1
1,1,1,1,2,3,27.0,1,1,0,1,1,0
0,0,0,0,3,2,19.0,1,1,1,1,0,0
1,0,1,0,5,1,50.0,1,1,1,0,0,1
1,0,0,0,1,2,19.0,1,1,1,0,0,0
0,0,0,0,4,2,67.0,1,1,1,1,0,0
0,1,0,0,5,2,18.0,1,0,1,1,1,0
0,1,1,0,4,2,18.0,0,0,1,1,0,0
1,1,1,0,5,2,39.0,0,1,1,0,1,1
0,0,1,0,2,1,15.0,1,0,0,0,0,0
1,0,0,0,5,1,62.0,1,0,0,0,0,0
1,0,1,0,4,2,24.0,1,1,1,1,0,0
1,0,0,0,3,1,28.0,0,0,1,0,0,0
1,0,1,0,5,2,38.0,1,1,1,0,0,0
0,1,1,1,5,3,19.0,0,1,1,1,1,1
1,0,0,0,5,1,16.0,1,0,1,1,0,0
1,1,1,0,3,1,32.0,1,1,1,0,0,0
1,0,1,0,2,1,45.0,1,0,1,1,0,0
1,0,0,0,4,1,16.0,1,0,0,0,0,0
1,0,1,0,4,1,48.0,0,1,0,0,0,0
0,1,1,0,2,2,26.0,1,1,1,0,0,0
1,1,1,1,1,1,38.0,1,1,0,0,0,0
1,0,0,0,2,1,17.0,1,1,1,1,0,0
0,1,1,1,4,2,35.0,1,1,1,1,1,0
1,0,0,0,5,1,58.0,1,0,1,0,0,1
1,1,0,0,5,1,42.0,1,1,1,0,0,0
0,0,0,0,4,2,16.0,1,0,1,1,0,0
0,0,1,0,3,1,26.0,1,1,1,0,0,0
1,1,1,1,2,1,42.0,1,1,1,0,0,0
1,0,0,0,2,1,32.0,1,1,1,0,0,0
1,0,1,0,1,2,19.0,1,1,1,0,0,0
0,1,1,1,4,3,46.0,1,1,1,0,1,1
0,0,1,1,4,1,36.0,1,1,1,0,0,0
1,0,1,1,3,2,38.0,1,1,1,1,0,0
1,0,1,1,3,1,41.0,1,1,1,1,0,0
1,1,1,1,5,1,30.0,1,1,1,1,0,0
1,1,0,1,5,2,32.0,1,1,1,0,1,0
0,1,1,1,4,1,42.0,1,1,1,1,0,0
0,1,0,0,5,1,66.0,1,0,1,0,0,0
1,1,1,1,5,1,45.0,1,0,1,1,1,1
1,1,0,0,5,2,21.0,0,0,1,1,0,0
1,1,1,0,3,1,50.0,1,0,1,0,0,0
0,0,0,0,4,1,50.0,1,1,1,1,0,0
0,0,0,0,3,1,19.0,1,1,1,1,0,0
0,1,1,1,3,1,40.0,1,1,1,0,0,0
1,1,1,1,4,1,27.0,1,1,1,0,1,1
0,1,1,0,1,2,39.0,0,1,1,1,0,0
1,0,0,1,1,1,62.0,1,1,0,0,0,0
1,1,1,1,4,2,30.0,1,1,1,1,1,0
1,0,0,0,2,2,30.0,1,0,1,0,0,0
0,1,0,1,4,2,23.0,1,1,1,1,0,0
1,0,1,1,2,1,32.0,1,1,1,0,0,0
1,1,1,0,2,1,71.0,1,0,0,0,0,0
1,0,1,0,5,1,32.0,0,0,1,1,0,0
1,1,0,0,4,1,59.0,1,0,1,0,0,0
1,1,0,0,4,2,22.0,0,0,1,0,1,1
0,1,0,1,4,1,28.0,1,1,1,1,1,1
1,1,0,0,5,2,50.0,1,1,1,1,1,1
1,1,1,1,3,1,70.0,1,0,0,0,1,0
0,1,1,1,5,3,25.0,0,1,1,1,1,1
1,0,0,0,2,2,23.0,1,1,0,0,0,0
1,0,0,0,5,1,52.0,1,1,0,0,0,0
0,0,1,0,4,1,65.0,0,1,1,0,0,0
1,1,1,1,1,2,44.0,1,0,1,0,1,0
0,0,1,0,2,1,32.0,1,1,0,0,0,0
1,1,1,0,4,1,46.0,0,0,1,1,0,0
1,1,1,1,5,2,40.0,0,1,1,1,1,1
0,0,1,0,1,1,52.0,1,1,1,0,0,0
0,0,0,0,1,2,24.0,1,1,1,1,0,0
0,0,1,0,5,1,24.0,1,1,1,1,0,0
0,1,1,1,1,1,27.0,1,1,1,0,1,0
1,1,0,0,1,2,21.0,1,1,1,1,1,1
1,1,1,1,5,3,19.0,1,1,1,1,1,1
0,1,1,0,4,2,21.0,1,0,1,1,1,1
1,1,0,0,1,1,50.0,1,0,1,0,1,0
1,1,0,0,2,1,61.0,1,1,1,0,0,0
1,1,0,0,1,2,49.0,0,0,1,0,0,0
0,1,0,0,4,3,33.0,1,1,1,1,1,0
1,0,0,0,1,1,53.0,1,0,1,0,0,0
1,0,1,0,1,1,20.0,1,1,0,1,0,0
0,1,0,1,5,1,15.0,1,0,1,1,1,1
0,1,0,1,4,1,64.0,0,1,1,0,1,1
0,1,0,1,4,2,18.0,1,1,1,1,1,0
0,0,0,0,4,1,62.0,0,0,1,1,0,0
1,0,0,0,2,1,35.0,1,1,0,0,0,0
0,1,1,0,3,1,58.0,1,0,0,0,0,0
1,0,0,0,1,1,56.0,1,1,1,0,0,0
0,0,1,0,1,1,26.0,1,1,1,0,0,0
0,1,0,1,4,1,71.0,1,0,1,0,1,1
0,1,1,0,3,2,19.0,0,1,1,1,0,0
1,1,1,1,5,1,34.0,1,1,1,1,0,0
0,1,1,0,5,2,18.0,0,0,1,1,1,0
0,0,1,0,1,1,55.0,1,1,1,0,0,0
1,0,1,1,1,2,26.0,1,1,1,0,0,0
1,0,0,0,3,2,18.0,1,1,1,1,0,0
0,1,1,0,2,1,68.0,1,1,1,0,0,0
0,1,0,0,3,1,50.0,1,1,1,1,0,0
0,1,1,0,5,2,22.0,0,0,1,1,1,1
1,0,1,0,5,1,57.0,1,1,1,1,0,0
1,1,1,1,3,1,32.0,1,1,1,0,1,0
1,1,1,0,1,1,67.0,0,0,0,0,0,0
1,1,1,0,2,1,34.0,1,1,1,1,0,0
0,1,0,0,4,1,73.0,0,1,1,0,1,0
0,1,1,0,2,1,71.0,1,1,1,0,1,0
0,1,0,1,5,2,18.0,0,0,1,1,1,0
1,1,0,0,5,2,29.0,1,1,1,0,0,0
1,0,0,0,4,2,29.0,1,1,1,1,0,0
0,0,1,0,1,1,35.0,1,0,1,0,0,0
0,1,0,0,4,1,39.0,0,1,1,0,0,0
0,0,1,0,5,1,30.0,1,1,1,1,0,0
0,1,1,0,1,1,25.0,0,1,1,1,1,0
1,0,0,0,4,2,20.0,1,1,1,1,0,0
1,1,0,0,5,2,23.0,0,0,1,0,1,0
1,0,0,0,1,1,54.0,1,1,1,0,0,0
1,0,0,0,5,1,16.0,1,1,0,0,0,0
0,1,0,1,5,2,73.0,0,1,1,1,1,0
1,1,1,0,4,1,47.0,0,1,0,0,1,1
1,0,1,0,5,1,28.0,1,0,1,0,0,0
0,1,1,0,5,2,24.0,1,1,1,1,1,0
0,1,0,0,1,1,70.0,1,1,0,0,1,0
0,0,0,0,5,2,18.0,1,0,1,1,0,0
0,1,1,1,4,2,28.0,1,0,1,1,1,1
1,0,0,0,5,1,56.0,1,1,1,0,0,0
1,1,1,0,2,2,23.0,1,1,1,1,1,0
1,1,1,1,2,1,40.0,1,1,0,0,1,0
1,1,1,0,4,1,53.0,0,0,1,0,0,0
1,1,0,1,2,2,17.0,1,1,1,1,1,1
0,1,1,0,3,1,71.0,1,1,0,0,1,0
1,1,1,1,3,2,28.0,1,1,1,1,0,0
0,0,1,0,3,1,53.0,0,1,1,0,0,1
1,1,1,1,5,1,32.0,1,1,1,0,0,0
1,1,1,0,4,2,40.0,0,0,1,1,1,0
0,0,1,0,4,2,27.0,1,1,1,1,0,1
0,1,1,1,1,2,42.0,1,1,1,0,1,0
0,1,1,1,5,2,28.0,1,1,1,1,0,0
1,0,0,0,5,2,20.0,0,1,1,0,0,1
1,1,0,0,3,1,72.0,0,0,0,0,0,0
1,1,1,1,5,1,50.0,1,0,1,1,0,0
1,1,1,0,5,2,36.0,1,1,1,1,0,0
0,1,0,0,4,1,69.0,1,1,0,0,1,0
1,0,0,0,4,1,35.0,1,0,1,0,0,0
1,0,1,0,1,2,20.0,1,1,1,0,0,0
1,0,1,0,4,1,45.0,1,0,0,0,0,0
0,0,1,0,4,1,18.0,1,1,1,1,0,1
1,0,0,0,4,1,33.0,1,0,1,0,0,0
1,1,0,1,5,3,20.0,0,0,1,1,1,0
1,0,1,1,3,2,26.0,1,1,1,1,0,1
1,0,0,0,4,1,45.0,1,1,1,0,0,0
1,1,1,1,1,1,63.0,1,0,1,0,1,0
1,1,1,1,4,1,33.0,1,1,1,0,0,0
0,1,0,0,1,1,80.0,1,0,0,0,1,0
0,0,0,0,2,1,30.0,0,1,0,0,0,0
0,0,1,0,1,1,18.0,1,1,1,1,0,0
0,0,0,0,1,2,20.0,1,1,1,0,0,0
0,0,1,0,3,1,48.0,1,1,0,0,0,0
1,1,1,0,3,1,73.0,0,0,0,0,1,0
0,1,1,0,2,2,72.0,1,1,1,0,1,0
1,1,0,0,1,1,40.0,1,1,1,0,1,0
1,1,0,0,5,1,58.0,1,1,1,0,0,0
0,1,0,0,2,1,74.0,1,1,1,0,0,0
1,0,0,0,3,1,75.0,1,0,0,0,0,1
1,0,0,0,5,2,20.0,0,0,1,0,0,0
0,1,1,0,1,1,58.0,0,1,1,0,0,0
0,0,1,0,3,1,25.0,0,0,1,1,0,0
0,1,1,0,4,2,52.0,0,1,1,1,1,0
0,1,0,1,5,2,18.0,0,1,1,1,0,0
0,0,1,0,3,2,49.0,0,1,1,0,0,1
0,0,0,1,4,1,52.0,0,1,0,0,0,0
1,0,1,0,1,1,25.0,1,0,1,0,0,0
1,1,0,1,5,3,30.0,1,1,1,1,0,0
0,1,1,1,5,2,55.0,0,1,1,1,1,1
1,0,1,0,5,1,28.0,0,1,1,0,0,0
0,0,1,0,4,1,57.0,0,1,1,0,0,0
0,0,0,0,5,3,20.0,1,1,1,1,0,0
0,1,1,1,5,3,31.0,0,1,1,1,1,1
1,1,1,0,5,3,28.0,0,0,1,1,1,0
1,0,0,1,5,1,48.0,0,1,1,0,0,0
0,0,1,1,3,1,37.0,1,1,1,0,0,0
1,1,1,1,5,1,32.0,1,1,0,0,0,0
1,1,1,0,3,1,58.0,1,1,1,0,1,0
0,0,0,0,5,2,28.0,0,1,1,0,0,0
1,0,1,0,5,1,56.0,1,1,1,0,0,0
0,0,0,0,5,2,20.0,1,1,1,1,0,0
0,0,1,0,3,1,29.0,1,1,1,0,0,0
0,0,1,0,2,1,34.0,1,1,1,1,0,0
0,0,1,0,2,1,40.0,0,1,1,0,0,0
0,1,0,0,5,2,57.0,1,1,0,0,1,0
0,1,0,1,5,1,30.0,0,1,1,1,0,0
0,0,0,0,5,2,16.0,0,0,1,1,0,0
0,1,1,0,2,1,72.0,1,1,0,0,0,0
0,1,1,1,5,2,24.0,0,1,1,1,1,0
1,1,0,1,3,2,27.0,1,1,1,1,0,0
1,1,0,1,3,2,38.0,0,1,1,1,0,0
1,0,1,0,2,1,35.0,1,0,1,0,0,0
0,1,1,0,4,1,61.0,1,0,1,0,0,0
1,0,0,0,1,1,19.0,1,1,1,0,0,0
1,0,0,0,2,1,50.0,1,1,0,0,0,0
